"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2021","Washington St.",68.6422,194,67.5647,207,97.4812,246,102.447,167,95.9845,49,91.345,24,11.1024,78
"2021","Weber St.",71.5481,78,71.8605,33,110.73,21,107.707,91,99.128,106,102.723,185,4.98448,122
"2021","West Virginia",70.3926,113,69.1703,122,108.579,40,116.787,12,100.882,151,96.2734,70,20.5137,23
"2021","Western Carolina",72.0674,55,70.5023,77,100.007,195,99.8554,220,107.82,300,106.924,272,-7.06842,241
"2021","Western Illinois",73.7429,24,71.4707,44,98.7574,216,98.0118,252,109.193,315,109.44,308,-11.4285,290
"2021","Western Kentucky",69.099,176,67.406,219,104.06,108,106.598,102,97.6956,74,98.0318,97,8.5667,99
"2021","Western Michigan",68.0194,224,65.9845,283,93.212,311,94.7363,294,107.748,299,105.219,233,-10.4823,274
"2021","Wichita St.",67.6344,244,67.0423,234,103.413,125,109.488,61,99.888,128,97.1859,84,12.3017,68
"2021","William & Mary",67.2316,265,68.0541,182,95.0769,287,94.8475,291,106.871,287,107.308,278,-12.4602,302
"2021","Winthrop",72.3815,46,73.1034,14,108.817,36,104.994,124,92.5411,12,96.5091,71,8.48455,101
"2021","Wisconsin",65.7309,317,64.5645,328,105.607,85,112.97,29,97.6254,71,90.5711,15,22.3986,14
"2021","Wofford",67.2673,263,65.8638,291,106.371,72,106.426,106,103.456,231,102.038,171,4.38806,127
"2021","Wright St.",72.11,53,71.0858,52,113.038,8,108.323,80,93.0483,15,96.5916,73,11.731,73
"2021","Wyoming",69.9863,134,69.031,129,108.1,45,109.138,68,107.28,293,108.965,301,0.172931,164
"2021","Xavier",69.5632,154,67.9042,186,106.368,73,110.639,48,99.8495,127,97.9128,94,12.7259,66
"2021","Yale",0,348,67.9164,185,0,348,107.055,99,200,348,102.071,172,4.98344,123
"2021","Youngstown St.",68.3325,205,67.6108,202,106.102,78,102.186,171,108.592,309,109.495,310,-7.3092,246
